cuisine_category_id,cuisine_category_name
1000004,asian
1000005,asian-fusion
1000032,others
1000010,chinese
1000025,modern-asian
1000028,new-canadian
1000008,canadian
1000031,northern-thai
1000038,southern-thai
1000041,western
1000002,american
1000037,south-east-asian
1000003,arabian
1000024,middle-eastern
1000001,african
1000009,caribbean
1000039,thai
1000040,vietnamese
1000020,korean
1000015,halal
1000014,french
1000006,belgian
1000017,italian
1000011,eastern-european
1000013,european
1000026,modern-european
1000016,indian
1000036,south-asian
1000019,japanese
1000030,north-indian
1000021,latin-american
1000023,mexican
1000027,new-american
1000029,new-mexican
1000018,jamaican
1000022,mediterranean
1000007,british
1000035,shanghai
1000000,afghan
1000012,ethiopian
1000033,persian
1000034,portuguese
