menu_id,name,provider_id,position
1000000,New Arrival (新品上线),1000069,1
1000001,Top List (热销排行榜),1000069,1
1000002,Grass Jelly (书亦-烧仙草),1000069,1
1000003,"""All Out Blitz"" Burger Pit",1000092,1
1000004,Zone Specialty Pizzas,1000092,1
1000005,Snacks,1000033,1
1000006,Starters,1000092,1
1000007,"Zone ""Piz-za-Ria!"" Bella!",1000092,1
1000008,"""Flame Broiled"" Steaks",1000092,1
1000009,Chicken & Rib Combo,1000092,1
1000010,"""Kick-Off"" Soups & Salads",1000092,1
1000011,"""Two Handed"" Hoagie Melts",1000092,1
1000012,Super Save Combo (超值优惠套餐),1000069,1
1000013,Picked for you,1000085,1
1000014,Mains,1000085,1
1000015,Smoothie,1000085,1
1000016,Specialty Milk Teas,1000085,1
1000017,Yogurty (Sugar option not available),1000085,1
1000018,"Real Tea Lovers, Single Brew Tea Drinks",1000085,1
1000019,Snacks,1000085,1
1000020,Desserts,1000085,1
1000021,BRGRS,1000033,1
1000022,Kids Roster,1000092,1
1000023,Other Items,1000072,1
1000024,And More...,1000042,1
1000025,Other Items,1000022,1
1000026,Breakfast Sandwiches and Burritos,1000048,1
1000027,Desserts,1000061,1
1000028,Picked for you,1000069,1
1000029,Fresh Yogurt & Yakult (书亦－酸奶益菌多系列),1000069,1
1000030,Other Items,1000020,1
1000031,Everyday Essentials,1000035,1
1000032,Cold Drinks,1000047,1
1000033,Cold Drinks,1000048,1
1000034,"Ribs, Meat & Trays",1000090,1
1000035,Seafood Combos and Platters,1000061,1
1000036,Sides and Dips,1000062,1
1000037,Chicken,1000039,1
1000038,Wings,1000061,1
1000039,Great Canadian Steak Event,1000051,1
1000040,100% Canadian Steaks,1000051,1
1000041,Groceries,1000000,1
1000042,Drinks,1000022,1
1000043,Drinks,1000072,1
1000044,Oil & Vinegar,1000089,1
1000045,Picked for you,1000060,1
1000046,PHO - BEEF RICE NOODLE SOUP,1000060,1
1000047,Noodle with Soup 汤面,1000055,1
1000048,Chicken,1000088,1
1000049,Hand Pulled Ramen 招牌手工拉面,1000037,1
1000050,Picked for you,1000037,1
1000051,Signature Sides,1000061,1
1000052,Dairy & Eggs,1000005,1
1000053,Bakery,1000048,1
1000054,Sliced Noodles 山西刀削面,1000037,1
1000055,NEW! Smoothies,1000028,1
1000056,Rice 米饭,1000037,1
1000057,Soup (汤),1000060,1
1000058,Rice Noodles 金汤云南过桥米线,1000037,1
1000059,Ramen /Rice (拉面/米线),1000060,1
1000060,Snack 小点,1000037,1
1000061,Appetizer 凉菜,1000037,1
1000062,Chicken & Fish Meals,1000013,1
1000063,Chicken & Fish,1000013,1
1000064,BBQ Skewer Meat 炭火烧烤肉类,1000037,1
1000065,Bites,1000046,1
1000066,BBQ Skewer Vegetable 炭火烧烤素食类,1000037,1
1000067,BBQ Skewer Seafood 炭火烧烤海鲜类,1000037,1
1000068,Bakery,1000047,1
1000069,Chocolates1,1000020,1
1000070,Specialty Items,1000012,1
1000071,Individual Items,1000048,1
1000072,Combos,1000012,1
1000073,"Bundles, Deals, and Combos",1000022,1
1000074,Today's Offers,1000023,1
1000075,Baking Mixes,1000046,1
1000076,Mains,1000039,1
1000077,Additionals,1000023,1
1000078,"Bundles, Deals, and Combos",1000072,1
1000079,Bakery,1000049,1
1000080,Cold Beverages,1000013,1
1000081,Picked for you,1000035,1
1000082,Dairy,1000035,1
1000083,School & Office Supplies,1000005,1
1000084,The Grill on Rice (烤肉饭),1000060,1
1000085,Sauce Cold Noodle 拌面,1000055,1
1000086,The Wok on Rice (小炒碟头饭),1000060,1
1000087,Spicy Curry on Rice (咖喱饭),1000060,1
1000088,Vermicelli BOWLS (檬),1000060,1
1000089,Chocolates,1000022,1
1000090,Beverages,1000044,1
1000091,Poutines,1000033,1
1000092,Meals & Bites,1000000,1
1000093,Picked for you,1000080,1
1000094,All-day Breakfasts,1000080,1
1000095,Shisha Flavor & Charcoal,1000079,1
1000096,Sweets & Treats,1000000,1
