product_id,provider_id,product_name,product_status,description,price,product_image,quantity,sold_quantity,position,rating,create_at,update_at,delete_at,calo
1000000,1000069, Coconut Grass Jelly Milk Tea 椰椰烧仙草,1,.,6.25,https://d1ralsognjng37.cloudfront.net/cdb6cf93-dd06-4c38-9267-7d7870df8d8b.jpeg,1000,1000,1,4.8,2018-03-11 14:09:50,2018-03-11 14:09:50,,300
1000001,1000092,"""2 Minute Warning"" Burger",1,Homemade 8oz. burger served on a toasted kaiser. Your choice of American mixed cheddar or mozzarella cheeses.,17.98,,1000,1000,1,4.5,2018-02-10 23:41:44,2018-02-10 23:41:44,,300
1000002,1000092,"""All Out"" Veggie",1,"Authentic sauce and mozzarella, mushrooms, green peppers, onions, tomatoes and olives..",14.48,,1000,1000,1,4.0,2021-06-22 07:37:21,2021-06-22 07:37:21,,300
1000003,1000033,"""B'Mac"" Nachos",1,.,16.5,https://d1ralsognjng37.cloudfront.net/70a13811-b32d-4401-afb1-acffabee99a4.jpeg,1000,1000,1,4.8,2021-05-27 17:23:03,2021-05-27 17:23:03,,300
1000004,1000092,"""Bacon Cheeseburger"" Pie",1,"Authentic sauce , shredded mozzarella and cheddar, ground beef, bacon and onions.",14.48,,1000,1000,1,4.1,2021-09-09 12:54:43,2021-09-09 12:54:43,,300
1000005,1000092,"""Black & Bleu"" Burger",1,"Homemade 8oz. burger served on a toasted kaiser. Flambroiled with our cajun seasoning, topped bleu cheese crumble, shot of Frank's Red Hot.",17.48,,1000,1000,1,4.7,2019-12-09 01:00:51,2019-12-09 01:00:51,,300
1000006,1000092,"""Bootleg"" Bruschetta",1,Fresh cut tomatoes & onions tossed in olive oil with our special herbs served on a baked Parisian loaf.,12.98,,1000,1000,1,4.6,2018-10-25 15:20:17,2018-10-25 15:20:17,,300
1000007,1000092,"""CFL"" Supreme",1,"Authentic sauce and mozzarella, pepperoni, bacon, mushrooms and green peppers.",14.48,,1000,1000,1,4.9,2019-10-22 11:09:32,2019-10-22 11:09:32,,300
1000008,1000092,"""First & Ten"" Personal Pizza (10"")",1,.,12.98,,1000,1000,1,4.7,2018-01-25 17:06:38,2018-01-25 17:06:38,,300
1000009,1000092,"""First Quarter"" Quesadillas",1,"A grilled tortilla stuffed with your choice of chicken or steak, melted mozzarella & cheddar cheeses, sauteed tomatoes, onions and green peppers. Served with sour cream & salsa.",14.98,,1000,1000,1,3.7,2019-02-03 17:37:48,2019-02-03 17:37:48,,300
1000010,1000092,"""Goal Line"" Sliders",1,"Three All-beef patties smothered with melted cheddar cheese, crispy bacon and our Game Day BBQ sauce.",15.48,,1000,1000,1,4.8,2020-05-04 21:40:49,2020-05-04 21:40:49,,300
1000011,1000092,"""Goaline Sliders"" Combo",1,A trio of bacon & cheddar sliders topped with “Game Day” BBQ sauce.,17.98,,1000,1000,1,4.6,2021-03-28 07:01:08,2021-03-28 07:01:08,,300
1000012,1000092,"""It's All Greek""",1,"Authentic sauce and mozzarella, black olives, red onions, tomatoes, topped with feta on a garlic crust.",14.48,,1000,1000,1,4.1,2019-07-23 21:55:31,2019-07-23 21:55:31,,300
1000013,1000092,"""Jacked-Up"" Sirloin",1,,26.98,,1000,1000,1,3.9,2018-06-04 08:36:40,2018-06-04 08:36:40,,300
1000014,1000092,"""Loaded Zone"" Potato Skins",1,"Our potato skins loaded with melted cheddar cheese, topped with crispy bacon, green onion. Served with sour cream.",12.98,,1000,1000,1,4.5,2019-07-13 14:41:30,2019-07-13 14:41:30,,300
1000015,1000092,"""Locker Room"" Garlic Bread",1,Parisian loaf loaded with homemade garlic spread and topped with a mix of cheddar & mozza cheeses.,12.48,,1000,1000,1,3.9,2021-11-22 18:32:53,2021-11-22 18:32:53,,300
1000016,1000092,"""My Thai Pie""",1,"Grilled chicken breast, green onions, hot peppers, bacon, crumbled feta cheese, topped with mozzarella cheese on a special sweet and spicy Thai base.",14.48,,1000,1000,1,3.9,2021-08-28 23:41:51,2021-08-28 23:41:51,,300
1000017,1000092,"""N’Awlins Bayou"" Chicken & Shrimp",1,A flame grilled chicken breast glazed in a mix of honey garlic & BBQ sauce paired with plump shrimp grilled in a “Bayou” cajun spice. Served with a fresh vegetable medley.,19.98,,1000,1000,1,4.3,2019-03-18 19:38:04,2019-03-18 19:38:04,,300
1000018,1000092,"""OPA"" Greek Salad",1,"Fresh Romaine lettuce tossed in our creamy Greek feta dressing topped with tomato wedges, diced red onions, cucumber, black olives and crumbled feta cheese.",17.98,,1000,1000,1,4.9,2021-01-15 02:11:21,2021-01-15 02:11:21,,300
1000019,1000092,"""Philly"" Steak & Cheese",1,"Authentic sauce and mozzarella, sauteed onions, peppers, mushrooms & grilled steak.",14.48,,1000,1000,1,4.6,2020-03-07 10:08:27,2020-03-07 10:08:27,,300
1000020,1000092,"""Place Kicker"" Shrimp",1,"Garlic marinated shrimp sautéed and topped with a mix of cheddar & mozzarella cheeses, then oven baked until bubbling. Serving with garlic toast.",12.48,,1000,1000,1,4.6,2018-04-04 03:04:51,2018-04-04 03:04:51,,300
1000021,1000092,"""Play Action"" Mozzarella Sticks",1,Real Wisconsin mozzarella cheese sticks coated in our special Italian-seasoned breading. Served with marinara sauce.,12.98,,1000,1000,1,3.8,2018-09-04 22:25:05,2018-09-04 22:25:05,,300
1000022,1000092,"""Second & Fourteen"" Pizza (14"")",1,"Eight serious size slices of our stone baked pizza topped with our authentic pizza sauce, loaded with melted mozzarella cheese and any three fresh toppings.",15.98,,1000,1000,1,4.8,2018-06-29 13:59:09,2018-06-29 13:59:09,,300
1000023,1000092,"""Sesame Ty"" Chicken Tenders",1,Our lightly breaded chicken cut into strips then tossed in our spicy Thai sauce topped with toasted sesame seeds.,15.98,,1000,1000,1,4.2,2021-06-29 05:27:06,2021-06-29 05:27:06,,300
1000024,1000092,"""Super Bowl"" Platter",1,"LOADED with boneless wings, potato skins, mozza sticks, jalapẽno poppers, deep fried pickles, breaded chicken wings, steak quesadillas, cajun fries & onion rings.",48.98,,1000,1000,1,3.7,2021-03-27 14:31:46,2021-03-27 14:31:46,,300
1000025,1000092,"""The Hammer""",1,Two of our famous homemade 8oz. patties served on a toasted kaiser with twice the cheese and bacon.,20.98,,1000,1000,1,3.7,2021-08-19 02:18:14,2021-08-19 02:18:14,,300
1000026,1000092,"""The Titanic""",1,"Thinly sliced roast beef marinated in our 'Zone sauce then piled high on a toasted Parisian loaf topped with sautéed onions, melted cheddar cheese, shredded lettuce, sliced tomatoes, mayo and mustard.",15.98,,1000,1000,1,4.0,2020-03-17 17:03:17,2020-03-17 17:03:17,,300
1000027,1000092,"""Third & Sixteen"" Pizza (16"")",1,"Twelve slices of our stone baked pizza topped with our authentic pizza sauce, loaded with melted mozzarella cheese and any three fresh toppings.",17.98,,1000,1000,1,4.0,2021-03-24 00:30:22,2021-03-24 00:30:22,,300
1000028,1000092,"""Tight End"" Burger",1,Homemade 8oz. burger served on a toasted kaiser.,16.48,,1000,1000,1,4.4,2021-03-08 19:25:57,2021-03-08 19:25:57,,300
1000029,1000092,"""Zone"" Fajita Salad",1,"Fresh Romaine lettuce tossed in our “Zone” dressing topped with sautéed peppers, mushrooms & onions, tomatoes, mixed cheddar cheese, sour cream & salsa in a crispy tortilla bowl.",18.98,,1000,1000,1,4.8,2020-11-18 16:14:35,2020-11-18 16:14:35,,300
1000030,1000069,# 2 Combo For 4,1,"Strawberry POPO Yakult (草莓啵啵益菌多): Jasmine Tea, Yakult, Strawberry and POPO. Happy Taro Milk Tea (芋泥全家福):Jasmine Tea Based Milk Tea, Mashed Taro, Taro Balls, Sago, Oats . Mango Pomelo Meet Grass Jelly (杨枝甘露烧仙草): Crushed Mango, Coconut Milk, Grapefruit and Grass Jelly. Grass Jelly Meet Yogurt (酸奶烧仙草): Yogurt, Coconut Jelly, Taro Balls and Grass Jelly.",22.95,https://d1ralsognjng37.cloudfront.net/44337c20-b86c-489c-9db7-8facee2ceefd.jpeg,1000,1000,1,4.1,2021-12-29 12:26:06,2021-12-29 12:26:06,,300
1000031,1000085,#100T Black Milk Tea with Tapioca (500 ml),1,.,4.8,https://d1ralsognjng37.cloudfront.net/c2842227-4f12-4dba-b98c-de109abc1bac.jpeg,1000,1000,1,3.7,2019-11-25 14:27:18,2019-11-25 14:27:18,,300
1000032,1000085,#140T Green Milk Tea with Tapioca (500 ml),1,.,4.6,,1000,1000,1,4.4,2021-10-05 08:03:35,2021-10-05 08:03:35,,300
